"spkid","full_name","diameter","extent","rot_per","orbit_id","epoch","e","a","q","i","w","ad","per","per_y","sigma_e","sigma_a","sigma_q","sigma_i","sigma_per","first_obs","last_obs"
54213340,"       (2010 WG30)",,,,"JPL 2",2459600.5,0.1685,5.235,4.353,4.43,210.21,6.12,4.38e+03,12,2.8e-07,5.0e-07,1.8e-06,1.9e-05,6.3e-04,2001-02-20,2021-10-28
3572989,"       (2010 WP34)",,,,"JPL 6",2459600.5,0.0464,5.186,4.946,21.54,197.62,5.43,4.31e+03,11.8,1.0e-06,6.3e-07,5.6e-06,1.6e-05,7.9e-04,2010-11-05,2021-11-11
54121936,"       (2010 WW37)",,,,"JPL 4",2459600.5,0.0268,5.204,5.065,8.81,300.13,5.34,4.34e+03,11.9,1.7e-07,3.5e-07,1.0e-06,9.2e-06,4.4e-04,2009-09-29,2021-11-10
3572991,"       (2010 WC39)",,,,4,2459600.5,0.0472,5.221,4.975,33.30,55.38,5.47,4.36e+03,11.9,5.0e-03,3.4e-03,2.8e-02,5.4e-01,4.2e+00,2010-11-08,2010-12-02
3572993,"       (2010 WU40)",,,,"JPL 15",2459600.5,0.0427,5.307,5.081,14.27,164.88,5.53,4.47e+03,12.2,3.8e-07,4.5e-07,2.4e-06,7.9e-06,5.7e-04,2010-10-30,2021-10-14
54021036,"       (2010 WL41)",,,,"JPL 8",2459600.5,0.0452,5.215,4.979,8.12,357.82,5.45,4.35e+03,11.9,1.4e-07,5.5e-07,4.3e-07,9.4e-06,6.9e-04,2010-11-27,2021-11-26
54214131,"       (2010 WL42)",,,,"JPL 2",2459600.5,0.0944,5.131,4.647,6.13,160.04,5.62,4.25e+03,11.6,3.6e-07,4.0e-07,2.1e-06,1.3e-05,5.0e-04,2010-11-27,2021-11-30
54121935,"       (2010 WS44)",,,,"JPL 4",2459600.5,0.0797,5.266,4.846,7.19,21.55,5.69,4.41e+03,12.1,4.7e-07,5.3e-07,2.9e-06,1.5e-05,6.6e-04,2010-10-13,2021-11-07
54200622,"       (2010 WB45)",,,,"JPL 5",2459600.5,0.0513,5.11,4.848,8.50,15.54,5.37,4.22e+03,11.6,2.5e-07,2.4e-07,1.3e-06,1.6e-05,3.0e-04,2008-09-29,2021-11-07
3553511,"       (2010 WK48)",,,,"JPL 9",2459600.5,0.1154,5.309,4.697,15.87,188.56,5.92,4.47e+03,12.2,1.2e-06,8.2e-07,7.0e-06,1.2e-05,1.0e-03,2010-10-29,2021-11-27
54222726,"       (2010 WY58)",,,,"JPL 2",2459600.5,0.0859,5.262,4.810,5.58,156.55,5.71,4.41e+03,12.1,2.4e-07,5.9e-07,1.7e-06,1.3e-05,7.4e-04,2010-11-30,2021-11-07
54122222,"       (2010 WX60)",,,,"JPL 7",2459600.5,0.0830,5.198,4.767,9.40,94.86,5.63,4.33e+03,11.9,9.0e-08,2.5e-07,4.8e-07,8.8e-06,3.2e-04,2008-11-01,2021-11-24
3554401,"       (2010 WB67)",,,,"JPL 18",2459600.5,0.0796,5.227,4.811,12.35,127.63,5.64,4.37e+03,12,1.4e-07,3.2e-07,9.6e-07,7.8e-06,4.0e-04,2001-02-20,2022-02-06
3778298,"       (2010 WB75)",,,,"JPL 8",2459600.5,0.0919,5.186,4.709,6.53,199.71,5.66,4.31e+03,11.8,5.5e-07,3.6e-07,3.0e-06,2.0e-05,4.5e-04,2010-11-10,2021-10-26
54068926,"       (2010 WW78)",,,,"JPL 7",2459600.5,0.0961,5.194,4.695,20.54,51.70,5.69,4.32e+03,11.8,1.4e-07,4.9e-07,1.1e-06,2.0e-05,6.1e-04,2010-11-28,2021-11-19
54212503,"       (2010 WC80)",,,,"JPL 3",2459600.5,0.0593,5.262,4.950,24.20,189.39,5.57,4.41e+03,12.1,8.6e-06,3.2e-06,4.8e-05,2.4e-05,4.1e-03,2010-11-26,2021-11-27
54214129,"       (2010 WD80)",,,,"JPL 1",2459600.5,0.0590,5.292,4.980,6.57,339.34,5.60,4.45e+03,12.2,5.7e-07,4.7e-07,3.3e-06,1.7e-05,5.9e-04,2009-10-22,2021-10-30
54228682,"       (2010 WK80)",,,,"JPL 2",2459600.5,0.1797,5.163,4.235,5.12,259.73,6.09,4.28e+03,11.7,1.4e-07,4.5e-07,9.2e-07,1.4e-05,5.6e-04,2010-11-28,2021-10-31
54127399,"       (2010 XT1)",,,,"JPL 6",2459600.5,0.0567,5.221,4.925,35.10,77.52,5.52,4.36e+03,11.9,1.2e-07,5.5e-07,5.3e-07,1.5e-05,6.9e-04,2010-12-01,2021-11-11
54122988,"       (2010 XH7)",,,,"JPL 8",2459600.5,0.1090,5.291,4.714,8.44,285.95,5.87,4.45e+03,12.2,1.3e-07,2.7e-07,8.6e-07,1.2e-05,3.4e-04,2009-09-29,2021-11-19
3553774,"       (2010 XQ8)",,,,"JPL 9",2459600.5,0.1173,5.219,4.607,21.97,347.39,5.83,4.36e+03,11.9,2.9e-07,3.8e-07,1.8e-06,1.5e-05,4.8e-04,2010-11-06,2021-12-05
3943542,"       (2010 XW14)",,,,"JPL 10",2459600.5,0.0768,5.176,4.779,5.36,255.62,5.57,4.3e+03,11.8,8.5e-08,2.6e-07,5.7e-07,8.4e-06,3.2e-04,2009-09-29,2021-11-11
3573015,"       (2010 XP16)",,,,"JPL 5",2459600.5,0.0913,5.126,4.658,3.27,20.21,5.59,4.24e+03,11.6,3.0e-05,5.9e-06,1.6e-04,3.3e-05,7.3e-03,2010-11-13,2021-11-11
54079190,"       (2010 XB22)",,,,"JPL 10",2459600.5,0.1378,5.221,4.502,7.88,90.36,5.94,4.36e+03,11.9,1.9e-07,3.0e-07,1.1e-06,1.0e-05,3.8e-04,2009-10-15,2021-11-29
54173504,"       (2010 XX26)",,,,"JPL 3",2459600.5,0.0343,5.177,5.000,9.88,57.73,5.36,4.3e+03,11.8,1.3e-07,3.2e-07,8.7e-07,9.9e-06,4.0e-04,2009-09-27,2021-11-11
3553910,"       (2010 XC43)",,,,7,2459600.5,0.0978,5.136,4.634,6.39,132.85,5.64,4.25e+03,11.6,3.8e-04,1.2e-03,1.4e-03,5.8e-04,1.4e+00,2010-12-06,2014-03-05
3556874,"       (2010 XD43)",,,,"JPL 8",2459600.5,0.0754,5.307,4.907,1.04,280.87,5.71,4.47e+03,12.2,6.1e-07,7.1e-07,3.8e-06,3.3e-05,8.9e-04,2009-10-14,2021-10-02
54213341,"       (2010 XT52)",,,,"JPL 3",2459600.5,0.1891,5.135,4.164,5.36,28.32,6.11,4.25e+03,11.6,3.2e-07,1.9e-07,1.7e-06,1.8e-05,2.4e-04,2003-04-01,2021-11-09
3991719,"       (2010 XO54)",,,,"JPL 16",2459600.5,0.1362,5.165,4.461,15.85,224.75,5.87,4.29e+03,11.7,8.3e-08,1.7e-07,5.2e-07,9.5e-06,2.2e-04,2001-03-19,2022-02-22
54217285,"       (2010 XF55)",,,,"JPL 1",2459600.5,0.1200,5.191,4.568,28.23,255.49,5.81,4.32e+03,11.8,1.4e-07,4.5e-07,8.8e-07,1.5e-05,5.6e-04,2010-12-10,2021-11-09
54006670,"       (2010 XD56)",,,,"JPL 13",2459600.5,0.0800,5.216,4.798,27.01,340.87,5.63,4.35e+03,11.9,1.8e-07,3.3e-07,1.0e-06,2.2e-05,4.2e-04,2007-09-09,2021-12-02
3554408,"       (2010 XU57)",15.977,,,"JPL 34",2459600.5,0.0332,5.201,5.028,26.89,45.50,5.37,4.33e+03,11.9,7.0e-08,2.5e-07,5.7e-07,8.8e-06,3.1e-04,2002-04-09,2022-01-08
54029014,"       (2010 XS66)",,,,"JPL 8",2459600.5,0.0730,5.14,4.765,8.17,233.71,5.51,4.26e+03,11.7,8.9e-08,2.1e-07,4.8e-07,9.3e-06,2.6e-04,2002-03-10,2022-01-28
