            JDTDB             Calendar Date (TDB),                      X,                      Y,                      Z,             X_s,             Y_s,             Z_s,
2382876.500000000, A.D. 1811-Dec-30 00:00:00.0000,  7.265175595140581E+08,  2.805741964325504E+08,  2.176770595244697E+07,  8.06837325E+01,  1.00250483E+02,  7.79661736E+01,
2382936.500000000, A.D. 1812-Feb-28 00:00:00.0000,  7.003597616968544E+08,  3.400185040531575E+08,  3.913009599828443E+07,  9.13892875E+01,  9.72809870E+01,  7.47810257E+01,
2382996.500000000, A.D. 1812-Apr-28 00:00:00.0000,  6.689255511989592E+08,  3.969035483193304E+08,  5.619878696619479E+07,  1.02667095E+02,  9.35475741E+01,  7.18441290E+01,
2383056.500000000, A.D. 1812-Jun-27 00:00:00.0000,  6.324574428048019E+08,  4.508039448476486E+08,  7.284562062562346E+07,  1.14299652E+02,  8.90206774E+01,  6.92731304E+01,
2383116.500000000, A.D. 1812-Aug-26 00:00:00.0000,  5.912338737512451E+08,  5.013167080692471E+08,  8.894573900243574E+07,  1.26103472E+02,  8.36902732E+01,  6.71832689E+01,
2383176.500000000, A.D. 1812-Oct-25 00:00:00.0000,  5.455672326520097E+08,  5.480638401812881E+08,  1.043783993337682E+08,  1.37911255E+02,  7.75814554E+01,  6.56784676E+01,
2383236.500000000, A.D. 1812-Dec-24 00:00:00.0000,  4.958017156805887E+08,  5.906947737146140E+08,  1.190277634162425E+08,  1.49561339E+02,  7.07796060E+01,  6.48406453E+01,
2383296.500000000, A.D. 1813-Feb-22 00:00:00.0000,  4.423110295627880E+08,  6.288886586242129E+08,  1.327836557301846E+08,  1.60892021E+02,  6.34745353E+01,  6.47195153E+01,
2383356.500000000, A.D. 1813-Apr-23 00:00:00.0000,  3.854959331885574E+08,  6.623564813940583E+08,  1.455422905719193E+08,  1.71739090E+02,  5.60419116E+01,  6.53259645E+01,
2383416.500000000, A.D. 1813-Jun-22 00:00:00.0000,  3.257816300064092E+08,  6.908430207289823E+08,  1.572069669149347E+08,  1.81935492E+02,  4.91886960E+01,  6.66314569E+01,
2383476.500000000, A.D. 1813-Aug-21 00:00:00.0000,  2.636150210135706E+08,  7.141286347031890E+08,  1.676887284055012E+08,  1.91312443E+02,  4.41476401E+01,  6.85737500E+01,
2383536.500000000, A.D. 1813-Oct-20 00:00:00.0000,  1.994618231479009E+08,  7.320308620654848E+08,  1.769069847302969E+08,  1.99701497E+02,  4.26434492E+01,  7.10668392E+01,
2383596.500000000, A.D. 1813-Dec-19 00:00:00.0000,  1.338035509380653E+08,  7.444058335207483E+08,  1.847900937900895E+08,  2.06937283E+02,  4.60335925E+01,  7.40119438E+01,
